Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
175,00:00:07.000,7.839482060185186,2.035671657986111,9.372395833333334,12.11037868923611
176,00:00:07.040,8.20139793113426,2.5952962239583335,9.277452256944445,12.7314453125
177,00:00:07.080,7.602593315972221,2.2542046440972223,8.675103081597221,11.878472222222221
178,00:00:07.120,6.1793438946759265,1.5339898003472223,7.683810763888889,9.320231119791666
179,00:00:07.160,5.63841869212963,1.45654296875,6.941460503472222,8.517252604166666
180,00:00:07.200,5.241545500578703,1.7435980902777777,6.066541883680555,7.914496527777778
181,00:00:07.240,4.5727719907407405,1.3236490885416667,5.55126953125,6.843397352430555
182,00:00:07.280,4.2353334780092595,1.4843207465277777,4.825005425347222,6.396674262152778
183,00:00:07.320,4.0643084490740735,1.8275282118055556,4.217393663194445,6.148003472222222
184,00:00:07.360,2.7169415509259256,1.0381130642361112,2.9047037760416665,4.2080078125
185,00:00:07.400,2.1688187210648144,1.5230034722222223,1.6407063802083333,3.342746310763889
186,00:00:07.440,1.2681477864583333,1.0035536024305556,0.8489854600694444,1.951904296875
187,00:00:07.480,1.1845251012731481,1.1500379774305556,0.5217556423611112,1.8817816840277777
188,00:00:07.520,1.2740162037037035,1.3631456163194444,0.4911024305555556,1.9678005642361112
189,00:00:07.560,0.968505859375,0.9299587673611112,0.4487847222222222,1.5267740885416667
190,00:00:07.600,1.0796893084490742,0.9448784722222222,0.6682671440972222,1.6259223090277777
191,00:00:07.640,1.8815737123842593,1.3395453559027777,1.259765625,3.04541015625
192,00:00:07.680,1.8028338396990737,1.6309950086805556,0.8838161892361112,2.8936903211805554
193,00:00:07.720,0.8575665509259259,0.8264702690972222,0.3030870225694444,1.4431423611111112
194,00:00:07.760,0.9741753472222223,1.0386013454861112,0.2629937065972222,1.6209309895833333
195,00:00:07.800,0.6533836082175927,0.6570638020833334,0.1726616753472222,1.1304253472222223
196,00:00:07.840,0.8140281394675927,0.6628689236111112,0.3697102864583333,1.4095052083333333
197,00:00:07.880,0.7106571903935185,0.6143663194444444,0.2472601996527778,1.2703450520833333
198,00:00:07.920,0.8498444733796297,0.8964572482638888,0.2815212673611111,1.3715549045138888
199,00:00:07.960,0.5600224247685185,0.6392686631944444,0.19767252604166666,0.8431260850694444
200,00:00:08.000,1.017505787037037,0.9352756076388888,0.3508843315972222,1.766357421875
201,00:00:08.040,1.0313494646990742,1.0437554253472223,0.3004286024305556,1.7498643663194444
202,00:00:08.080,0.950095847800926,1.0332302517361112,0.2446560329861111,1.5724012586805556
203,00:00:08.120,0.774757667824074,0.9679361979166666,0.1847601996527778,1.1715766059027777
204,00:00:08.160,0.6954300491898149,0.7590874565972222,0.210205078125,1.1169976128472223
205,00:00:08.200,0.6008843315972222,0.6181640625,0.20263671875,0.9818522135416666
206,00:00:08.240,0.6766312210648148,0.6669921875,0.22035047743055555,1.1425509982638888
207,00:00:08.280,0.7281539351851851,0.6299913194444444,0.3580729166666667,1.1963975694444444
208,00:00:08.320,1.0186812789351851,0.9214409722222222,0.274658203125,1.8599446614583333
209,00:00:08.360,0.3322844328703704,0.3088921440972222,0.1557074652777778,0.5322536892361112
210,00:00:08.400,0.5684497974537037,0.6202528211805556,0.20985243055555555,0.875244140625
211,00:00:08.440,0.5121889467592593,0.4951171875,0.19129774305555555,0.8501519097222222
212,00:00:08.480,0.5392523871527778,0.5326877170138888,0.1305881076388889,0.9544813368055556
213,00:00:08.520,0.5337547019675927,0.6514214409722222,0.13810221354166666,0.8117404513888888
214,00:00:08.560,0.3665726273148149,0.4453396267361111,0.09356011284722222,0.5608181423611112
215,00:00:08.600,0.5124421296296297,0.4847547743055556,0.13587782118055555,0.9166937934027778
216,00:00:08.640,0.8478190104166666,0.8109537760416666,0.2289496527777778,1.5035536024305556
217,00:00:08.680,0.5264847366898148,0.6577419704861112,0.14119466145833334,0.780517578125
218,00:00:08.720,0.6819661458333334,0.7089301215277778,0.13712565104166666,1.1998426649305556
219,00:00:08.760,0.7152416087962963,0.759033203125,0.1615668402777778,1.2251247829861112
220,00:00:08.800,0.6428313078703703,0.7003038194444444,0.1959906684027778,1.0321994357638888
221,00:00:08.840,0.7551992910879629,0.8943142361111112,0.21248372395833334,1.1587999131944444
222,00:00:08.880,0.7630660445601851,0.9078233506944444,0.15397135416666666,1.2274034288194444
223,00:00:08.920,0.7131618923611112,0.7542046440972222,0.2771267361111111,1.108154296875
224,00:00:08.960,0.9519585503472223,0.9530436197916666,0.2586534288194444,1.6441786024305556
225,00:00:09.000,0.39163773148148157,0.3665093315972222,0.1401909722222222,0.668212890625
226,00:00:09.040,0.934859664351852,0.9514702690972222,0.2739529079861111,1.5791558159722223
227,00:00:09.080,0.6374059606481481,0.7169053819444444,0.16129557291666666,1.0340169270833333
228,00:00:09.120,0.6335630063657408,0.70068359375,0.16370985243055555,1.0362955729166667
229,00:00:09.160,0.42400896990740744,0.5857476128472222,0.10514322916666667,0.5811360677083334
230,00:00:09.200,0.5178765190972222,0.4870062934027778,0.1386176215277778,0.9280056423611112
231,00:00:09.240,0.6001609519675926,0.6517469618055556,0.1521538628472222,0.99658203125
232,00:00:09.280,0.4660915798611111,0.6199815538194444,0.11371527777777778,0.6645779079861112
233,00:00:09.320,0.5313946759259259,0.6244845920138888,0.1254611545138889,0.84423828125
234,00:00:09.360,0.5160228587962963,0.5587836371527778,0.12239583333333333,0.8668891059027778
235,00:00:09.400,0.666531032986111,0.7720811631944444,0.16200086805555555,1.0655110677083333
236,00:00:09.440,0.6873191550925926,0.6032443576388888,0.23600260416666666,1.2227105034722223
237,00:00:09.480,0.8069751880787037,0.8437228732638888,0.2053493923611111,1.3718532986111112
238,00:00:09.520,0.888717086226852,0.8638780381944444,0.2566731770833333,1.5456000434027777
239,00:00:09.560,1.049587673611111,0.9316677517361112,0.4329969618055556,1.7840983072916667
240,00:00:09.600,0.8415075231481483,0.9280870225694444,0.22032335069444445,1.3761121961805556
241,00:00:09.640,0.42281539351851855,0.41015625,0.13053385416666666,0.7277560763888888
242,00:00:09.680,0.6381022135416666,0.6974283854166666,0.16219075520833334,1.0546875
243,00:00:09.720,0.4373824508101852,0.4927300347222222,0.1040310329861111,0.7153862847222222
244,00:00:09.760,0.4436125578703704,0.5337456597222222,0.11602105034722222,0.6810709635416666
245,00:00:09.800,0.3052933304398148,0.4181043836805556,0.07725694444444445,0.4205186631944444
246,00:00:09.840,0.46037688078703703,0.5652669270833334,0.09825303819444445,0.7176106770833334
247,00:00:09.880,0.3336588541666667,0.3634711371527778,0.060980902777777776,0.5765245225694444
248,00:00:09.920,0.6487087673611112,0.677978515625,0.09659830729166667,1.1715494791666667
